numero,jogador,selecao
17,Yang Hyunjun,Coreia do Sul
18,Eom Jisung,Coreia do Sul
19,Lee Kang-in,Coreia do Sul
20,Lee Donggyeong,Coreia do Sul
21,Lee Jaesung,Coreia do Sul
22,Hwang Inbeom,Coreia do Sul
23,Hwang Heechan,Coreia do Sul
24,Son Heung-min,Coreia do Sul
25,Oh Hyeongyu,Coreia do Sul
26,Cho Gue-sung,Coreia do Sul
1,Yahia Fofana,Costa do Marfim
2,Mohamed Koné,Costa do Marfim
3,Alban Lafont,Costa do Marfim
4,Emmanuel Agbadou,Costa do Marfim
5,Christopher Operi,Costa do Marfim
6,Ousmane Diomande,Costa do Marfim
7,Guela Doue,Costa do Marfim
8,Ghislan Konan,Costa do Marfim
9,Odilon Kossounou,Costa do Marfim
10,Evan Ndicka,Costa do Marfim
11,Wilfried Singo,Costa do Marfim
12,Seko Fofana,Costa do Marfim
13,Parfait Guiagon,Costa do Marfim
14,Christ Inao Oulai,Costa do Marfim
15,Franck Kessie,Costa do Marfim
16,Ibrahim Sangare,Costa do Marfim
17,Jean-Mickael Seri,Costa do Marfim
18,Simon Adingra,Costa do Marfim
19,Ange-Yoan Bonny,Costa do Marfim
20,Amad Diallo,Costa do Marfim
21,Oumar Diakite,Costa do Marfim
22,Yan Diomande,Costa do Marfim
23,Evann Guessand,Costa do Marfim
24,Nicolas Pepe,Costa do Marfim
25,Bazoumana Toure,Costa do Marfim
26,Elye Wahi,Costa do Marfim
1,Dominik Livakovic,Croácia
2,Dominik Kotarski,Croácia
3,Ivor Pandur,Croácia
4,Josko Gvardiol,Croácia
5,Duje Caleta-Car,Croácia
6,Josip Sutalo,Croácia
7,Josip Stanisic,Croácia
8,Marin Pongracic,Croácia
9,Martin Erlic,Croácia
10,Luka Vuskovic,Croácia
11,Luka Modric,Croácia
12,Mateo Kovacic,Croácia
13,Mario Pasalic,Croácia
14,Nikola Vlasic,Croácia
15,Luka Sucic,Croácia
16,Martin Baturina,Croácia
17,Kristijan Jakic,Croácia
18,Petar Sucic,Croácia
19,Nikola Moro,Croácia
20,Toni Fruk,Croácia
21,Ivan Perisic,Croácia
22,Andrej Kramaric,Croácia
23,Ante Budimir,Croácia
24,Marco Pasalic,Croácia
25,Petar Musa,Croácia
26,Igor Matanovic,Croácia
1,Tyrick Bodak,Curaçao
2,Trevor Doornbusch,Curaçao
3,Eloy Room,Curaçao
4,Riechedly Bazoer,Curaçao
5,Joshua Brenet,Curaçao
